interaction_id,sender_id,receiver_id,channel,interaction_date,response_time_hours,sentiment_raw
INT00000058,EMP00505,EMP00521,email,2024-03-07,0.5079645675453517,0.5720064707425727
INT00000059,EMP00949,EMP00960,slack,2024-12-03,,-0.23372344159502537
INT00000060,EMP00524,EMP00101,jira_comment,2024-01-19,,-0.42337579609225784
INT00000061,EMP00838,EMP00777,jira_comment,2024-04-27,,0.17911516130695587
INT00000062,EMP00803,EMP00830,email,2024-10-11,4.662610440102509,0.14576875363074057
INT00000063,EMP00967,EMP00991,slack,2024-09-07,,0.18879819690612987
INT00000064,EMP00640,EMP00633,slack,2024-06-23,,0.6182050642492555
INT00000065,EMP00339,EMP00290,email,2024-06-07,2.399758470662924,-0.0003368517067629945
INT00000066,EMP00380,EMP00721,slack,2024-11-30,,0.4532235666933081
INT00000067,EMP00461,EMP00606,slack,2024-03-14,,0.0110287139395875
INT00000068,EMP00805,EMP00786,slack,2024-04-15,,-0.25349108693445965
INT00000069,EMP00598,EMP00726,email,2024-12-13,0.3857104940782474,0.6461938472940404
INT00000070,EMP00615,EMP00643,email,2024-12-07,18.162123876082912,-0.05548395270988238
INT00000071,EMP00407,EMP00655,meeting,2024-12-05,,0.10983462786287825
INT00000072,EMP00947,EMP00934,slack,2024-02-04,,-0.0956940474249787
INT00000073,EMP00130,EMP00113,slack,2024-09-04,,0.12161007196977339
INT00000074,EMP00523,EMP00487,slack,2024-06-28,,-0.07733102755733168
INT00000075,EMP00846,EMP00790,email,2024-06-27,0.9156137737303852,-0.07128309845653835
INT00000076,EMP00658,EMP00664,meeting,2024-05-01,,0.1703202678096088
INT00000077,EMP00635,EMP00617,email,2024-04-24,0.7203394241364774,0.3999472740730884
INT00000078,EMP00158,EMP00147,slack,2024-05-19,,-0.12307646864376923
INT00000079,EMP00950,EMP00871,slack,2024-02-21,,0.4986881771310968
INT00000080,EMP00377,EMP00870,email,2024-12-13,4.332394831622455,0.03845149334018675
INT00000081,EMP00123,EMP00025,slack,2024-07-17,,0.49286520545815804
INT00000082,EMP00013,EMP00546,slack,2024-04-17,,-0.13824088700762713
INT00000083,EMP00013,EMP00442,meeting,2024-07-17,,-0.5930310309897933
INT00000084,EMP00111,EMP00748,meeting,2024-04-13,,0.31058608786638103
INT00000085,EMP00666,EMP00690,slack,2024-08-15,,0.16876341223452052
INT00000086,EMP00091,EMP00049,email,2024-03-28,8.701181626011131,0.3461585426252256
INT00000087,EMP00015,EMP00183,email,2024-01-02,0.6791346858093572,-0.49791811131624675
INT00000088,EMP00006,EMP00971,meeting,2024-03-28,,-0.10347933204655302
INT00000089,EMP00670,EMP00821,meeting,2024-11-04,,0.4983058396803075
INT00000090,EMP00699,EMP00718,email,2024-03-14,1.873874080021039,0.5060757668708192
INT00000091,EMP00549,EMP00653,email,2024-10-23,1.1497225384713774,-0.007405006422328733
INT00000092,EMP00735,EMP00492,slack,2024-12-23,,0.21784824047797569
INT00000093,EMP00071,EMP00124,meeting,2024-06-16,,0.37848909747054527
INT00000094,EMP00710,EMP00737,jira_comment,2024-03-07,,-0.09628498300626664
INT00000095,EMP00544,EMP00537,slack,2024-06-11,,0.49619849665845006
INT00000096,EMP00146,EMP00084,slack,2024-07-29,,0.0005535483708236089
INT00000097,EMP00443,EMP00482,slack,2024-09-09,,0.6853037680378898
INT00000098,EMP00405,EMP00487,email,2024-02-18,1.525250226467281,-0.15369830983020413
INT00000099,EMP00786,EMP00830,email,2024-02-26,2.2153597090766284,-0.5218950307973875
INT00000100,EMP00409,EMP00479,slack,2024-01-14,,0.681169348728855
INT00000101,EMP00148,EMP00045,slack,2024-08-03,,0.01469084858797147
INT00000102,EMP00703,EMP00728,meeting,2024-04-25,,0.41915545982030755
INT00000103,EMP00197,EMP00086,slack,2024-12-17,,0.5299643519818519
INT00000104,EMP00513,EMP00121,slack,2024-12-02,,0.048877725650738675
INT00000105,EMP00269,EMP00325,meeting,2024-05-20,,0.28374577316501953
INT00000106,EMP00495,EMP00543,email,2024-11-03,0.7849964408014996,0.23618967379260883
INT00000107,EMP00488,EMP00366,slack,2024-11-25,,-0.49724359853719935
INT00000108,EMP00015,EMP00533,email,2024-05-15,9.082954899262548,-0.35075103681226905
INT00000109,EMP00509,EMP00344,jira_comment,2024-06-13,,-0.06787168581484684
INT00000110,EMP00773,EMP00755,email,2024-09-14,7.062334338029396,0.07416980445368546
INT00000111,EMP00675,EMP00611,email,2024-09-16,1.0297680830696132,0.5886810842871975
INT00000112,EMP00166,EMP00040,jira_comment,2024-11-02,,0.04259680399148193
INT00000113,EMP00503,EMP00518,email,2024-10-31,4.703268356364405,0.5694154065009713
INT00000114,EMP00756,EMP00760,jira_comment,2024-03-07,,0.2357001851929416
INT00000115,EMP00633,EMP00614,slack,2024-12-29,,-0.6182780914701415
INT00000116,EMP00587,EMP00561,meeting,2024-03-29,,0.17429977033268296
INT00000117,EMP00557,EMP00577,meeting,2024-08-12,,-0.20256081258293232
INT00000118,EMP00059,EMP00177,meeting,2024-05-03,,0.26696003282537895
INT00000119,EMP00532,EMP00783,slack,2024-06-06,,-0.12605827410721335
INT00000120,EMP00910,EMP00358,slack,2024-05-04,,-0.05413131193105705
INT00000121,EMP00517,EMP00497,jira_comment,2024-08-17,,-0.12966058322891386
INT00000122,EMP00631,EMP00622,email,2024-03-10,16.620876962521507,0.2645283762489399
INT00000123,EMP00421,EMP00386,email,2024-05-31,6.583427946740297,0.1569530178512329
INT00000124,EMP00279,EMP00819,slack,2024-08-14,,0.024244799709110587
INT00000125,EMP00651,EMP00913,jira_comment,2024-08-15,,-0.22163990642805773
INT00000126,EMP00783,EMP00822,slack,2024-09-24,,-0.1512390212255578
INT00000127,EMP00962,EMP00609,jira_comment,2024-02-26,,0.6463896552439325
INT00000128,EMP00289,EMP00667,email,2024-05-06,0.09750103207810613,-0.027081981938251454
INT00000129,EMP00964,EMP00456,slack,2024-04-28,,0.25462312087024325
INT00000130,EMP00978,EMP00605,slack,2024-01-31,,-0.09098458493067069
INT00000131,EMP00267,EMP00931,email,2024-01-21,0.5838718823240846,-0.21029241550231967
INT00000132,EMP00373,EMP00455,meeting,2024-09-17,,-0.14197967129221176
INT00000133,EMP00740,EMP00756,email,2024-11-27,0.9246180702469766,-0.032195726470922725
INT00000134,EMP00235,EMP00258,slack,2024-07-06,,0.2413408880199788
INT00000135,EMP00760,EMP00390,slack,2024-04-02,,-0.623834099278847
INT00000136,EMP00238,EMP00247,email,2024-11-07,3.8561428745595068,0.006854807141216876
INT00000137,EMP00115,EMP00420,email,2024-09-04,0.14338843973470777,-0.34832168594579194
INT00000138,EMP00085,EMP00627,email,2024-12-30,3.735837534666345,0.05739903567774361
INT00000139,EMP00120,EMP00660,slack,2024-09-25,,0.14931721089319067
INT00000140,EMP00596,EMP00198,email,2024-06-30,1.701574259266752,-0.23112220933460217
INT00000141,EMP00351,EMP00372,slack,2024-12-17,,0.46375565104948013
INT00000142,EMP00635,EMP00679,meeting,2024-12-16,,-0.17072692843775375
INT00000143,EMP00981,EMP00265,email,2024-07-23,11.613331742381844,-0.05681560885090409
INT00000144,EMP00326,EMP00199,slack,2024-08-03,,-0.11416244721094518
INT00000145,EMP00855,EMP00800,email,2024-05-06,0.4037965564170644,0.2260565796174812
INT00000146,EMP00875,EMP00545,slack,2024-10-13,,0.2875255603744461
INT00000147,EMP00950,EMP01000,meeting,2024-09-02,,-0.030622241883188683
INT00000148,EMP00903,EMP00872,email,2024-07-24,6.595308450259598,-0.027432118337927358
INT00000149,EMP00780,EMP00765,email,2024-12-08,0.27410503311216894,-0.13472490018843372
INT00000150,EMP00960,EMP00971,slack,2024-01-24,,0.03966860364435091
INT00000151,EMP00791,EMP00806,email,2024-08-19,0.48590830201776125,-0.19278764483447144
INT00000152,EMP00385,EMP00487,slack,2024-04-20,,0.2942454072128423
INT00000153,EMP00152,EMP00001,meeting,2024-02-29,,0.03679299569105296
INT00000154,EMP00002,EMP00007,slack,2024-05-01,,-0.005285714665393418
INT00000155,EMP00468,EMP00466,email,2024-08-06,9.27660359514678,-0.17686593256858027
INT00000156,EMP00243,EMP00245,jira_comment,2024-04-30,,-0.24204827573786916
INT00000157,EMP00495,EMP00434,email,2024-08-08,2.6717529320600013,0.1834431179363881
INT00000158,EMP00048,EMP00187,email,2024-03-09,0.6797859757289992,-0.5741805666022567
INT00000159,EMP00476,EMP00377,slack,2024-09-07,,0.12971044630216028
INT00000160,EMP00850,EMP00491,email,2024-08-13,16.457662689302133,-0.16793918647545877
INT00000161,EMP00292,EMP00234,slack,2024-12-19,,0.6355505206216393
INT00000162,EMP00604,EMP00664,email,2024-10-23,9.930672575860214,0.23276368726121588
INT00000163,EMP00297,EMP00278,email,2024-10-27,0.04253241964358599,-0.435083338914255
INT00000164,EMP00079,EMP00141,slack,2024-03-01,,0.6045449857902472
INT00000165,EMP00302,EMP00320,meeting,2024-02-23,,0.10361595418054767
INT00000166,EMP00594,EMP00658,email,2024-09-09,0.47440082302205494,-0.29079563505033934
INT00000167,EMP00265,EMP00261,jira_comment,2024-07-29,,0.10343363172743981
INT00000168,EMP00585,EMP00088,slack,2024-11-17,,-0.22472815921648606
INT00000169,EMP00183,EMP00055,slack,2024-02-18,,0.21737939797997047
INT00000170,EMP00295,EMP00175,slack,2024-01-07,,0.4177671216688963
INT00000171,EMP00848,EMP00851,slack,2024-03-08,,0.20338147142510726
INT00000172,EMP00554,EMP00572,slack,2024-09-21,,0.06033140304064837
INT00000173,EMP00718,EMP00750,slack,2024-12-10,,-0.07336823242329674
INT00000174,EMP00013,EMP00087,email,2024-05-28,4.492455076611324,-0.020597774038761424
INT00000175,EMP00161,EMP00136,jira_comment,2024-04-06,,0.5313330819749387
INT00000176,EMP00179,EMP00987,email,2024-11-29,13.043615055731054,-0.45855354597275344
INT00000177,EMP00645,EMP00678,slack,2024-02-02,,-0.7018503299308814
INT00000178,EMP00742,EMP00953,email,2024-07-27,8.657493587877685,-0.12586757516858627
INT00000179,EMP00862,EMP00917,email,2024-06-06,0.22669877983647596,0.671518064219341
INT00000180,EMP00744,EMP00738,meeting,2024-09-19,,0.1393173478138433
INT00000181,EMP00627,EMP00622,slack,2024-05-20,,0.3906993610827574
INT00000182,EMP00410,EMP00579,email,2024-06-19,0.668903693846797,0.18357277435354183
INT00000183,EMP00769,EMP00754,slack,2024-01-18,,0.2999718005828601
INT00000184,EMP00340,EMP00276,meeting,2024-02-06,,0.1251943009943363
INT00000185,EMP00344,EMP00383,email,2024-06-23,6.9972619247405605,0.0860238188981982
INT00000186,EMP00523,EMP00491,jira_comment,2024-06-24,,0.11890071050040993
INT00000187,EMP00674,EMP00640,email,2024-02-19,6.652105311054774,0.09160526304093461
INT00000188,EMP00295,EMP00097,jira_comment,2024-12-25,,-0.2515914778702384
INT00000189,EMP00589,EMP00553,email,2024-03-22,0.36433519045729423,-0.41119785878311266
INT00000190,EMP00553,EMP00567,email,2024-07-16,3.090618394003093,0.006476100753265865
INT00000191,EMP00107,EMP00171,slack,2024-09-27,,-0.3606926209778357
INT00000192,EMP00297,EMP00269,meeting,2024-10-04,,0.5764828321447787
INT00000193,EMP00604,EMP00685,meeting,2024-09-22,,0.1209758742984476
INT00000194,EMP00101,EMP00695,slack,2024-03-06,,0.26667462659503743
INT00000195,EMP00186,EMP00397,meeting,2024-07-28,,-0.18887550913000659
INT00000196,EMP00875,EMP00911,email,2024-03-31,1.444360960586126,-0.1601015768970279
INT00000197,EMP00075,EMP00911,slack,2024-04-13,,0.04908406107388652
INT00000198,EMP00491,EMP00540,email,2024-06-07,0.12750274902160397,0.23449721979194785
INT00000199,EMP00090,EMP00586,email,2024-05-15,1.2566668237459753,0.07363697727531383
INT00000200,EMP00555,EMP00566,jira_comment,2024-02-13,,0.36591818787038577
INT00000201,EMP00916,EMP00902,slack,2024-07-11,,0.2007523770799071
INT00000202,EMP00532,EMP00135,slack,2024-10-25,,-0.41703902222162537
INT00000203,EMP00840,EMP00141,email,2024-07-23,0.6257589368852452,-0.045209039471802825
INT00000204,EMP00051,EMP00011,meeting,2024-10-01,,0.5850623195495822
INT00000205,EMP00211,EMP00256,slack,2024-10-02,,-0.30942249566046964
INT00000206,EMP00003,EMP00176,slack,2024-01-23,,0.11038356225557669
INT00000207,EMP00435,EMP00363,slack,2024-02-25,,-0.19991366860081441
INT00000208,EMP00922,EMP00670,slack,2024-06-17,,-0.3250526277790622
INT00000209,EMP00073,EMP00579,email,2024-07-21,1.1650847790150856,0.21231593551187894
INT00000210,EMP00178,EMP00198,meeting,2024-06-13,,0.009214072158866035
INT00000211,EMP00751,EMP00771,jira_comment,2024-09-17,,0.49444236145177156
INT00000212,EMP00367,EMP00475,slack,2024-07-24,,0.1363533847898386
INT00000213,EMP00726,EMP00745,slack,2024-05-26,,-0.024341919750757543
INT00000214,EMP00343,EMP00380,email,2024-02-15,3.195373974654242,-0.012452438869282878
INT00000215,EMP00734,EMP00730,email,2024-10-20,4.968736632090205,-0.39652860295555514
INT00000216,EMP00198,EMP00182,email,2024-08-31,2.5385427372955522,-0.0010495902921778544
INT00000217,EMP00281,EMP00284,jira_comment,2024-09-27,,0.2848404004006715
INT00000218,EMP00203,EMP00783,slack,2024-12-13,,0.11081797803933863
INT00000219,EMP00308,EMP00311,jira_comment,2024-07-08,,-0.05010832321906994
INT00000220,EMP00400,EMP00422,meeting,2024-05-26,,0.3958408950882303
INT00000221,EMP00363,EMP00528,meeting,2024-04-29,,0.3921682384652203
INT00000222,EMP00323,EMP00295,email,2024-08-18,1.3200520200854216,-0.061298773070906726
INT00000223,EMP00955,EMP00860,jira_comment,2024-01-08,,0.03877942466834532
INT00000224,EMP00745,EMP00099,slack,2024-06-24,,0.54160436994704
INT00000225,EMP00607,EMP00655,email,2024-06-17,0.9956934310623381,0.5362150544372375
INT00000226,EMP00586,EMP00280,email,2024-11-10,0.0662591438319545,-0.22158876568706573
INT00000227,EMP00455,EMP00828,email,2024-09-12,1.8643220616288727,0.031212203934307584
INT00000228,EMP00775,EMP00278,email,2024-03-11,0.986524603735762,0.9427632583688509
INT00000229,EMP00878,EMP00938,email,2024-12-08,5.77401021147882,0.11857494510398776
INT00000230,EMP00138,EMP00379,email,2024-08-30,8.607566299761293,0.2959734649843681
INT00000231,EMP00156,EMP00085,slack,2024-04-17,,0.15410918290791947
INT00000232,EMP00687,EMP00022,slack,2024-12-30,,0.5737556508944895
INT00000233,EMP00684,EMP00756,email,2024-04-18,1.9048858642152717,0.27950411412246484
INT00000234,EMP00462,EMP00454,meeting,2024-05-08,,-0.30674419133796615
INT00000235,EMP00907,EMP00918,email,2024-03-26,11.832358207620027,-0.24567465238303024
INT00000236,EMP00749,EMP00252,meeting,2024-02-22,,0.44010414362701045
INT00000237,EMP00326,EMP00273,email,2024-07-05,0.0002849046311397593,-0.12494400148535523
INT00000238,EMP00053,EMP00280,slack,2024-01-13,,0.631402372680305
INT00000239,EMP00343,EMP00367,meeting,2024-04-07,,0.02107797266309415
INT00000240,EMP00824,EMP00040,slack,2024-02-03,,0.4865332747954757
INT00000241,EMP00588,EMP00248,slack,2024-07-15,,0.6156385009149578
INT00000242,EMP00751,EMP00763,email,2024-03-21,5.407477687934726,0.3070313274292037
INT00000243,EMP00760,EMP00753,email,2024-01-17,4.501092943592251,0.3887972717460524
INT00000244,EMP00824,EMP00860,slack,2024-08-26,,0.13318393677360332
INT00000245,EMP00184,EMP00901,meeting,2024-06-14,,-0.256121127912311
INT00000246,EMP00193,EMP00189,slack,2024-04-15,,-0.19554740969324788
INT00000247,EMP00746,EMP00518,slack,2024-06-18,,-0.009074987092039674
INT00000248,EMP00027,EMP00076,email,2024-06-26,4.431843039877135,0.07454484050139708
INT00000249,EMP00104,EMP00166,slack,2024-10-02,,0.22524158762260435
INT00000250,EMP00271,EMP00297,slack,2024-07-24,,0.28985737438219195
INT00000251,EMP00363,EMP00341,meeting,2024-10-09,,0.2838896141423797
INT00000252,EMP00647,EMP00086,slack,2024-06-20,,0.023003765080074165
INT00000253,EMP00475,EMP00349,slack,2024-06-18,,-0.1779599333471452
INT00000254,EMP00196,EMP00178,email,2024-02-06,3.871299992645931,0.2260680128423757
INT00000255,EMP00078,EMP00308,email,2024-05-05,0.1886527222734044,0.7844898631828184
INT00000256,EMP00361,EMP00480,email,2024-08-10,16.826505160154994,-0.11406619441110649
INT00000257,EMP00700,EMP00696,email,2024-06-16,0.34668997534144924,0.49748670381448923
INT00000258,EMP00620,EMP00094,slack,2024-10-26,,0.33476764771454776
INT00000259,EMP00443,EMP00347,email,2024-06-19,4.000548825969952,0.26985632757244987
INT00000260,EMP00949,EMP00987,slack,2024-12-23,,0.12595166257643853
INT00000261,EMP00806,EMP00813,email,2024-08-26,1.3699483858128558,0.5655640360367465
INT00000262,EMP00322,EMP00029,slack,2024-08-03,,-0.05929295136671442
INT00000263,EMP00440,EMP00405,jira_comment,2024-10-19,,0.048530646935095546
INT00000264,EMP00933,EMP00950,slack,2024-06-13,,-0.13907329678900707
INT00000265,EMP00292,EMP00314,email,2024-12-20,6.365377023484193,0.6218944125793034
INT00000266,EMP00346,EMP00416,slack,2024-09-20,,0.3387334029232699
INT00000267,EMP00781,EMP00518,email,2024-07-11,6.973693098107233,0.29507470167350924
INT00000268,EMP00827,EMP00860,meeting,2024-01-20,,-0.012483406954740608
INT00000269,EMP00104,EMP00185,email,2024-08-13,1.5876285824907423,0.20910944510288887
INT00000270,EMP00039,EMP00068,meeting,2024-09-28,,-0.504230778459587
INT00000271,EMP00204,EMP00229,meeting,2024-12-07,,0.09302988674489014
INT00000272,EMP00331,EMP00328,email,2024-07-25,2.8778785775925226,-0.018371855560818134
INT00000273,EMP00150,EMP00099,jira_comment,2024-01-28,,-0.09842506769204479
INT00000274,EMP00964,EMP00996,meeting,2024-08-04,,-0.5253206464965423
INT00000275,EMP00390,EMP00462,slack,2024-08-20,,-0.19892558780071687
INT00000276,EMP00983,EMP00996,email,2024-05-15,1.0762755256603431,0.341371090475451
INT00000277,EMP00222,EMP00251,email,2024-09-23,0.13173435809480888,0.2128133108867834
INT00000278,EMP00875,EMP00891,email,2024-09-08,3.9804650926949323,0.09332566154523679
INT00000279,EMP00791,EMP00830,slack,2024-12-16,,-0.37666926925361754
INT00000280,EMP00523,EMP00525,email,2024-03-09,0.558579858727852,0.362963081224456
INT00000281,EMP00199,EMP00524,jira_comment,2024-03-30,,0.29736640312995377
INT00000282,EMP00081,EMP00908,slack,2024-08-19,,0.2283389194741398
INT00000283,EMP00365,EMP00346,jira_comment,2024-06-23,,0.19805304111640687
INT00000284,EMP00959,EMP00507,jira_comment,2024-04-20,,0.024135566104650633
INT00000285,EMP00311,EMP00942,email,2024-04-13,4.251781274888825,0.23985329865919322
INT00000286,EMP00060,EMP00014,slack,2024-11-30,,0.02381119658566569
INT00000287,EMP00793,EMP00817,jira_comment,2024-04-15,,-0.013905957542768327
INT00000288,EMP00311,EMP00276,email,2024-12-17,10.3081664020205,0.38787715772502207
INT00000289,EMP00541,EMP00841,meeting,2024-05-12,,0.09271078486875536
INT00000290,EMP00944,EMP00280,slack,2024-07-18,,0.1873694250542139
INT00000291,EMP00216,EMP00974,slack,2024-06-15,,0.05060469173681462
INT00000292,EMP00457,EMP00370,email,2024-05-22,1.4667147216549814,0.20092028160696168
INT00000293,EMP00725,EMP00420,slack,2024-02-01,,0.2386637467031874
INT00000294,EMP00036,EMP00058,email,2024-12-22,1.5578709329357079,0.27266395299996843
INT00000295,EMP00872,EMP00929,email,2024-05-09,0.98119059378403,-0.07419542082367539
INT00000296,EMP00154,EMP00073,slack,2024-11-29,,0.09736159315432857
INT00000297,EMP00797,EMP00186,slack,2024-08-25,,0.47828119706889527
INT00000298,EMP00865,EMP00869,email,2024-02-03,3.4641546570049404,0.39134170204687346
INT00000299,EMP00850,EMP00349,slack,2024-06-03,,0.5203558825101688
INT00000300,EMP00183,EMP00035,slack,2024-09-02,,0.3763452239184376
INT00000301,EMP00768,EMP00772,jira_comment,2024-10-05,,-0.16045802919223393
INT00000302,EMP00188,EMP00106,slack,2024-07-08,,-0.03199631135891262
INT00000303,EMP00277,EMP00340,slack,2024-12-02,,0.20817750329705242
INT00000304,EMP00422,EMP00376,slack,2024-03-24,,0.18701211894506056
INT00000305,EMP00598,EMP00689,meeting,2024-04-13,,0.0023364965441404623
INT00000306,EMP00476,EMP00762,meeting,2024-08-24,,0.5401543752127127
INT00000307,EMP00457,EMP00693,slack,2024-04-20,,0.20719582681318804
INT00000308,EMP00348,EMP00480,slack,2024-12-16,,0.23791178650449626
INT00000309,EMP00630,EMP00672,slack,2024-06-27,,-0.3281409206558723
INT00000310,EMP00460,EMP00298,email,2024-02-17,3.38830729169853,-0.5781244272013557
INT00000311,EMP00225,EMP00254,email,2024-02-06,0.9269660804749552,0.6117558041633692
INT00000312,EMP00957,EMP00953,meeting,2024-07-12,,0.19898306159717938
INT00000313,EMP00170,EMP00141,slack,2024-10-14,,0.19851039184946145
INT00000314,EMP00479,EMP00378,email,2024-04-22,5.230292695954357,-0.22151039805852327
INT00000315,EMP00150,EMP00014,meeting,2024-07-31,,0.3135931068973154
INT00000316,EMP00748,EMP00716,email,2024-10-26,4.40317335887246,0.19908698368497757
INT00000317,EMP00232,EMP00228,email,2024-11-28,3.3756852745998125,0.13970395192080176
INT00000318,EMP00752,EMP00751,email,2024-06-09,1.2763614505374987,-0.404697944537308
INT00000319,EMP00540,EMP00778,slack,2024-08-17,,-0.48035922071393533
INT00000320,EMP00643,EMP00425,meeting,2024-08-11,,0.043484761820685
INT00000321,EMP00505,EMP00538,email,2024-09-16,12.365945279613527,0.28518447414767756
INT00000322,EMP00016,EMP00091,slack,2024-07-26,,-0.249448428938312
INT00000323,EMP00990,EMP00938,meeting,2024-01-26,,-0.17907940618101523
INT00000324,EMP00848,EMP00110,email,2024-11-20,4.613267043607516,0.0685125531999482
INT00000325,EMP00823,EMP00558,email,2024-12-29,0.4405289812148709,0.21865273190875245
INT00000326,EMP00558,EMP00581,jira_comment,2024-01-22,,-0.0096408782342675
INT00000327,EMP00060,EMP00167,email,2024-09-27,1.3031263421464794,0.05625686257335521
INT00000328,EMP00176,EMP00816,slack,2024-02-21,,-0.24404962465023225
INT00000329,EMP00421,EMP00376,jira_comment,2024-07-24,,0.3189147021351125
INT00000330,EMP00265,EMP00317,meeting,2024-04-02,,0.2024526056610409
INT00000331,EMP00579,EMP00364,email,2024-09-03,4.421476886185788,-0.5642562113129008
INT00000332,EMP00005,EMP00043,slack,2024-03-16,,0.26506074880793223
INT00000333,EMP00768,EMP00753,slack,2024-02-27,,0.38282974036758255
INT00000334,EMP00372,EMP00426,slack,2024-05-29,,-0.32299091092516274
INT00000335,EMP00527,EMP00529,jira_comment,2024-03-01,,0.19625489389738215
INT00000336,EMP00412,EMP00061,slack,2024-03-30,,0.08351954013912469
INT00000337,EMP00970,EMP00937,email,2024-03-04,2.2002606532405036,0.2524237315597196
INT00000338,EMP00186,EMP00370,meeting,2024-11-27,,0.18646571892709726
