employee_id,department,job_level,tenure_years,monthly_salary,engagement_score,age,gender,education,salary_vs_dept_avg,latest_rating,avg_rating,rating_trend,avg_sentiment,pct_negative_review,absent_rate,avg_hours_worked,no_show_count,absence_worsening,influence_score,in_degree_weighted_norm,betweenness_norm,network_role,is_isolated,avg_completion_rate,n_trainings_completed,avg_assessment_score
EMP00011,Engineering,2,6.38,15484519,2.4,28,L,S1,0.7976496644392378,2,2.0,-1.570092458683775e-16,0.10600000000000001,0.5,0.03435114503816794,7.4721374045801525,0,0.03006993006993007,0.0092,0.0,0.0,Information Broker,1,0.7666666666666666,1,68.3
EMP00012,Engineering,1,3.42,15360989,3.9,41,P,S1,0.7912862983541705,3,3.0,-3.14018491736755e-16,-0.11315,0.5,0.015267175572519083,7.841221374045801,0,-0.00023310023310023353,0.0092,0.0,0.0,Information Broker,1,0.7766666666666667,1,67.60000000000001
EMP00013,Engineering,2,2.88,15671093,3.8,22,L,S1,0.8072605983334766,4,4.0,-3.14018491736755e-16,0.03484999999999999,0.5,0.03816793893129771,7.377862595419847,0,-0.031002331002331004,0.0092,0.0,0.0,Information Broker,1,0.6675,1,73.625
EMP00014,Engineering,3,3.76,22170054,3.1,42,L,D3,1.1420397452255238,4,3.5,0.9999999999999996,-0.2143,1.0,0.015267175572519083,7.864503816793893,0,0.014918414918414918,0.0092,0.0,0.0,Information Broker,1,0.77,1,90.75
EMP00015,Engineering,1,2.93,15927008,2.9,25,P,S2,0.8204434756236895,3,3.0,-3.14018491736755e-16,-0.2023,1.0,0.011450381679389313,7.864885496183206,0,-0.015617715617715619,0.0092,0.0,0.0,Information Broker,1,0.77,2,74.3
EMP00016,Engineering,1,2.49,14544814,2.8,43,L,S1,0.7492429055388241,3,3.0,-3.14018491736755e-16,-0.11315,0.5,0.019083969465648856,7.827480916030535,1,-0.015384615384615385,0.0092,0.0,0.0,Information Broker,1,0.96,1,62.0
EMP00017,Engineering,2,4.97,17151253,2.3,31,P,S1,0.8835076633741397,3,2.0,1.9999999999999996,-0.08530000000000001,0.5,0.0,8.033206106870228,0,0.0,0.0092,0.0,0.0,Information Broker,1,0.8333333333333334,1,66.93333333333334
EMP00018,Engineering,4,2.75,25324255,2.8,40,L,S1,1.3045212126333203,3,3.0,-3.14018491736755e-16,-0.10115,0.5,0.015267175572519083,7.902290076335878,1,-0.015617715617715619,0.0092,0.0,0.0,Information Broker,1,0.844,3,79.4
EMP00019,Engineering,2,2.09,23352153,2.7,31,P,S1,1.2029328779527306,4,3.5,0.9999999999999996,-0.10115,0.5,0.06870229007633588,7.032824427480915,0,-0.06200466200466201,0.0431,0.1304347826086956,0.0,Information Broker,1,0.7859999999999999,3,66.97999999999999
EMP00020,Engineering,3,3.49,21762360,2.4,32,P,D3,1.1210383190724809,2,2.5,-1.0000000000000007,-0.14245,0.5,0.011450381679389313,7.961832061068702,0,-0.015384615384615385,0.0431,0.1304347826086956,0.0,Information Broker,1,0.95,1,69.1
EMP00021,Engineering,5,2.57,31924022,2.8,36,L,S1,1.644493150600987,3,3.5,-0.9999999999999998,0.0,0.0,0.030534351145038167,7.73969465648855,0,-0.0006993006993007006,0.0092,0.0,0.0,Information Broker,1,0.85,1,66.9
EMP00022,Engineering,1,4.02,14686542,4.1,37,L,S1,0.7565437000705525,5,5.0,-1.0721261933235726e-15,0.33525,0.0,0.0,8.01679389312977,0,0.0,0.0092,0.0,0.0,Information Broker,1,0.7350000000000001,1,88.5
EMP00023,Engineering,1,2.78,14879476,4.7,25,L,S2,0.7664822548528432,4,4.5,-1.0000000000000007,0.1909,0.0,0.011450381679389313,7.925190839694657,1,0.0,0.0092,0.0,0.0,Information Broker,1,0.8333333333333334,2,79.3
EMP00024,Engineering,1,6.34,13453863,4.7,28,P,S1,0.693045054054406,5,5.0,-1.0721261933235726e-15,0.6705,0.0,0.022900763358778626,7.760687022900763,0,0.014918414918414918,0.0092,0.0,0.0,Information Broker,1,0.8539999999999999,3,82.06
EMP00025,Engineering,2,2.17,18314591,3.5,50,L,D3,0.9434343659943124,4,3.5,0.9999999999999996,-0.11315,0.5,0.026717557251908396,7.734351145038168,0,0.015151515151515152,0.0092,0.0,0.0,Information Broker,1,0.7533333333333333,1,83.86666666666666
EMP00026,Engineering,1,2.69,15393392,4.6,35,P,S1,0.7929554649635321,5,4.5,0.9999999999999991,0.33525,0.0,0.030534351145038167,7.7793893129770995,0,-0.0006993006993007006,0.0092,0.0,0.0,Information Broker,1,0.8560000000000001,3,81.92
EMP00027,Engineering,2,3.61,17629165,4.2,31,P,S1,0.9081262095770593,4,4.5,-1.0000000000000007,0.318,0.0,0.03435114503816794,7.397709923664122,0,-0.00023310023310023353,0.0092,0.0,0.0,Information Broker,1,0.64,0,97.9
EMP00028,Engineering,1,1.11,19214964,4.7,50,L,S1,0.9898150266606301,5,4.5,0.9999999999999991,-0.064,0.5,0.022900763358778626,7.422137404580153,1,-0.00046620046620046707,0.0092,0.0,0.0,Information Broker,1,0.784,2,83.26
EMP00029,Engineering,4,4.96,22953190,3.8,48,L,S1,1.1823812093427033,4,3.5,0.9999999999999996,-0.11315,0.5,0.007633587786259542,7.881297709923665,0,-0.015384615384615385,0.0092,0.0,0.0,Information Broker,1,0.835,1,61.3
EMP00030,Engineering,4,6.12,26609112,3.6,22,L,S1,1.3707076892621652,3,3.5,-0.9999999999999998,-0.4496,1.0,0.022900763358778626,7.396564885496184,0,-0.046153846153846156,0.0092,0.0,0.0,Information Broker,1,0.76,0,61.1
EMP00031,Engineering,1,5.21,14266750,3.9,39,L,S1,0.7349190730521559,4,3.5,0.9999999999999996,-0.2023,1.0,0.003816793893129771,7.943893129770993,0,0.0,0.0092,0.0,0.0,Information Broker,1,0.7625,2,73.3
EMP00032,Engineering,1,4.14,14280560,4.1,49,P,S1,0.7356304636911486,5,5.0,-1.0721261933235726e-15,0.0,0.0,0.026717557251908396,7.78587786259542,1,0.029836829836829837,0.0797,0.2608695652173913,0.0,Central Connector,1,0.8560000000000001,3,70.76
EMP00033,Engineering,2,6.26,19444578,3.3,49,L,S1,1.0016430679482253,3,3.5,-0.9999999999999998,-0.128,1.0,0.05725190839694656,7.2687022900763365,0,-0.016083916083916086,0.0092,0.0,0.0,Information Broker,1,0.7875,2,89.7
EMP00034,Engineering,4,1.11,23096462,3.3,50,P,D3,1.1897615395114054,3,3.0,-3.14018491736755e-16,-0.10115,0.5,0.015267175572519083,7.847709923664122,0,0.045454545454545456,0.0092,0.0,0.0,Information Broker,1,0.754,3,75.68
EMP00035,Engineering,1,4.66,13598074,1.8,25,P,S2,0.700473754665542,3,2.5,0.9999999999999994,0.318,0.0,0.019083969465648856,7.822900763358779,0,0.014918414918414918,0.0092,0.0,0.0,Information Broker,1,0.8075,2,80.85
EMP00036,Engineering,1,5.14,13151306,3.2,40,L,S1,0.6774595205597109,4,4.0,-3.14018491736755e-16,-0.11315,0.5,0.019083969465648856,7.811068702290076,0,0.030303030303030304,0.0092,0.0,0.0,Information Broker,1,0.8,1,84.44999999999999
EMP00037,Engineering,1,2.53,19758568,5.0,29,P,S1,1.0178175463506398,5,5.0,-1.0721261933235726e-15,0.50525,0.0,0.04961832061068702,7.252671755725191,2,0.029603729603729603,0.0092,0.0,0.0,Information Broker,1,0.8300000000000001,4,72.62
EMP00038,Engineering,1,2.12,14458153,4.0,46,L,S1,0.7447787618628101,4,4.5,-1.0000000000000007,0.33525,0.0,0.03435114503816794,7.748091603053435,0,-0.031002331002331004,0.0092,0.0,0.0,Information Broker,1,0.7925,1,74.05
EMP00039,Engineering,2,3.54,18015556,3.6,25,P,S1,0.9280302602932837,3,3.5,-0.9999999999999998,-0.064,0.5,0.03816793893129771,7.266793893129772,1,-0.015617715617715619,0.0092,0.0,0.0,Information Broker,1,0.88,1,76.3
EMP00040,Engineering,2,5.41,18900097,3.3,33,L,S1,0.973595371604313,4,3.5,0.9999999999999996,0.0,0.0,0.03435114503816794,7.685496183206107,1,-0.046153846153846156,0.0431,0.1304347826086956,0.0,Information Broker,1,0.7975,1,74.175
EMP00041,Engineering,5,5.88,37985352,3.5,29,L,S1,1.956728735093827,3,3.5,-0.9999999999999998,-0.2143,1.0,0.03816793893129771,7.462213740458015,0,0.029836829836829837,0.0092,0.0,0.0,Information Broker,1,0.67,0,84.5
EMP00042,Engineering,3,5.9,23404485,3.5,25,P,S2,1.2056286415240391,3,3.0,-3.14018491736755e-16,-0.10115,0.5,0.04198473282442748,7.295419847328245,0,0.029836829836829837,0.0092,0.0,0.0,Information Broker,1,0.7939999999999999,2,85.88
EMP00043,Engineering,1,2.37,15605256,3.5,51,L,S1,0.8038691555022408,4,3.5,0.9999999999999996,-0.2143,1.0,0.0,8.059923664122136,0,0.0,0.0092,0.0,0.0,Information Broker,1,0.78,0,87.4
EMP00044,Engineering,4,2.82,17861851,3.3,37,L,S1,0.9201124979351095,3,3.5,-0.9999999999999998,-0.10115,0.5,0.026717557251908396,7.77175572519084,0,0.03006993006993007,0.0092,0.0,0.0,Information Broker,1,0.8566666666666666,2,89.46666666666665
EMP00045,Engineering,2,3.42,24295624,2.4,36,L,S1,1.251533633750063,2,2.5,-1.0000000000000007,0.04915,0.5,0.019083969465648856,7.860305343511451,0,-0.015850815850815853,0.0092,0.0,0.0,Information Broker,1,0.82,3,77.16
EMP00046,Engineering,2,2.07,22787233,3.9,42,L,S1,1.1738323131605655,3,3.0,-3.14018491736755e-16,0.0,0.0,0.019083969465648856,7.837022900763359,0,-0.015384615384615385,0.0092,0.0,0.0,Information Broker,1,0.8,3,71.92
EMP00047,Engineering,3,6.26,25475406,3.0,47,L,S1,1.3123074115090914,3,3.5,-0.9999999999999998,-0.2263,1.0,0.026717557251908396,7.793893129770993,0,0.030303030303030304,0.0092,0.0,0.0,Information Broker,1,0.87,1,75.3
EMP00048,Engineering,3,1.27,21865666,4.3,28,P,D3,1.126359891943718,5,4.5,0.9999999999999991,0.296,0.0,0.07251908396946564,7.0293893129770995,1,-0.04685314685314686,0.0092,0.0,0.0,Information Broker,1,0.6859999999999999,1,69.1
EMP00049,Engineering,2,3.9,15727215,3.0,50,P,S2,0.8101515951069418,3,3.5,-0.9999999999999998,-0.2143,1.0,0.022900763358778626,7.846946564885497,0,0.014918414918414918,0.0092,0.0,0.0,Information Broker,1,0.818,3,78.14
EMP00050,Engineering,2,6.1,15622461,2.7,50,L,S1,0.8047554318196826,3,3.0,-3.14018491736755e-16,-0.2143,1.0,0.026717557251908396,7.788167938931298,0,0.014685314685314685,0.0092,0.0,0.0,Information Broker,1,0.7525,2,75.825
EMP00051,Engineering,1,1.12,15700698,3.6,39,L,S1,0.8087856323571828,3,3.0,-3.14018491736755e-16,-0.10115,0.5,0.019083969465648856,7.92175572519084,0,-0.015384615384615385,0.0431,0.1304347826086956,0.0,Information Broker,1,0.86,3,78.25
EMP00052,Engineering,3,1.83,17748058,4.5,49,L,S2,0.9142507111876145,5,5.0,-1.0721261933235726e-15,0.0,0.0,0.007633587786259542,7.9797709923664115,0,0.0,0.0092,0.0,0.0,Information Broker,1,0.81,1,49.2
EMP00053,Engineering,3,2.2,23299852,3.7,42,L,S1,1.2002387112756878,3,3.5,-0.9999999999999998,-0.10115,0.5,0.011450381679389313,7.939694656488549,1,-0.015384615384615385,0.0092,0.0,0.0,Information Broker,1,0.86,1,79.8
EMP00054,Engineering,2,2.77,21783817,2.8,26,P,S1,1.1221436274679093,3,3.0,-3.14018491736755e-16,-0.11315,0.5,0.003816793893129771,7.972900763358779,0,-0.015384615384615385,0.0431,0.1304347826086956,0.0,Information Broker,1,0.8140000000000001,2,77.3
EMP00055,Engineering,2,6.2,21281784,3.2,50,P,S2,1.0962825429881509,3,3.5,-0.9999999999999998,-0.11315,0.5,0.026717557251908396,7.869465648854963,0,-0.0006993006993007006,0.0431,0.1304347826086956,0.0,Information Broker,1,0.8,1,53.3
EMP00056,Engineering,5,3.36,29090833,2.1,25,P,D3,1.498547883903136,1,1.5,-1.0,0.26115,0.0,0.015267175572519083,7.827862595419847,0,-0.015384615384615385,0.0092,0.0,0.0,Information Broker,1,0.865,2,59.9
EMP00057,Engineering,1,1.6,12432364,2.4,35,L,S2,0.6404248638776872,1,2.0,-2.0,0.10600000000000001,0.5,0.026717557251908396,7.766793893129772,1,-0.015384615384615385,0.0092,0.0,0.0,Information Broker,1,0.89,3,73.6
EMP00058,Engineering,1,5.06,10607217,3.3,45,P,S1,0.5464065807071036,3,3.5,-0.9999999999999998,0.05685000000000001,0.5,0.04580152671755725,7.394656488549619,1,-0.016083916083916086,0.0092,0.0,0.0,Information Broker,1,0.79,0,82.7
EMP00059,Engineering,1,4.67,15314290,3.9,51,L,S1,0.7888807059247481,4,3.5,0.9999999999999996,-0.2143,1.0,0.026717557251908396,7.837022900763359,0,-0.00046620046620046707,0.0092,0.0,0.0,Information Broker,1,0.82,1,78.3
EMP00060,Engineering,2,3.52,21205763,3.2,26,L,D3,1.0923664946342864,4,3.5,0.9999999999999996,-0.11315,0.5,0.0,8.040458015267175,0,0.0,0.0431,0.1304347826086956,0.0,Information Broker,1,0.8379999999999999,4,69.06
EMP00061,Engineering,1,1.92,12349052,2.5,23,L,S2,0.6361332362950828,3,3.0,-3.14018491736755e-16,-0.2143,1.0,0.019083969465648856,7.951908396946565,0,0.03006993006993007,0.0092,0.0,0.0,Information Broker,1,0.798,2,67.84
EMP00062,Engineering,2,6.3,22077883,4.1,49,L,S1,1.137291766471968,5,4.5,0.9999999999999991,-0.064,0.5,0.0648854961832061,7.155725190839695,2,0.014219114219114218,0.0431,0.1304347826086956,0.0,Information Broker,1,0.8,4,78.02000000000001
EMP00063,Engineering,4,4.84,26615266,2.7,37,P,S1,1.371024698530258,4,4.0,-3.14018491736755e-16,0.0,0.0,0.019083969465648856,7.4328244274809165,1,0.0,0.0092,0.0,0.0,Information Broker,1,0.71,0,64.1
EMP00064,Engineering,3,1.17,29125986,2.5,30,P,D3,1.5003587104876772,3,3.5,-0.9999999999999998,-0.11315,0.5,0.019083969465648856,7.455343511450382,0,-0.046153846153846156,0.0092,0.0,0.0,Information Broker,1,0.788,2,63.48
EMP00065,Engineering,1,2.26,17241077,3.1,48,P,S1,0.8881347417779694,3,3.0,-3.14018491736755e-16,0.0,0.0,0.03435114503816794,7.383969465648855,0,0.03006993006993007,0.0092,0.0,0.0,Information Broker,1,0.8099999999999999,3,76.35
EMP00066,Engineering,2,4.01,19697526,3.7,45,L,S1,1.0146731070033987,3,3.5,-0.9999999999999998,-0.2143,1.0,0.003816793893129771,7.962213740458015,0,-0.015384615384615385,0.0092,0.0,0.0,Information Broker,1,0.7875,2,72.4
EMP00067,Engineering,2,3.98,22162077,3.7,42,L,S1,1.1416288282720664,4,4.0,-3.14018491736755e-16,-0.10115,0.5,0.03435114503816794,7.7538167938931295,0,-0.031235431235431238,0.0092,0.0,0.0,Information Broker,1,0.755,1,63.550000000000004
EMP00068,Engineering,2,1.78,19205992,4.3,25,P,S1,0.989352854552517,4,4.5,-1.0000000000000007,0.1909,0.0,0.019083969465648856,7.846183206106869,0,-0.015384615384615385,0.0092,0.0,0.0,Information Broker,1,0.7775,2,81.22500000000001
EMP00069,Engineering,1,6.32,11817896,1.7,34,L,S1,0.6087719469218134,2,2.0,-1.570092458683775e-16,-0.128,1.0,0.05725190839694656,7.11412213740458,2,-0.06223776223776224,0.0092,0.0,0.0,Information Broker,1,0.91,1,67.9
EMP00070,Engineering,3,3.66,19476364,3.7,36,P,S1,1.0032804512104283,3,3.0,-3.14018491736755e-16,-0.11315,0.5,0.026717557251908396,7.806106870229008,1,0.015151515151515152,0.0092,0.0,0.0,Information Broker,1,0.835,1,86.19999999999999
EMP00071,Engineering,2,4.41,21994039,2.6,31,L,S1,1.1329727341232563,3,3.0,-3.14018491736755e-16,-0.2023,1.0,0.022900763358778626,7.868702290076335,2,0.014918414918414918,0.0092,0.0,0.0,Information Broker,1,0.79,2,78.13333333333334
EMP00072,Engineering,2,5.44,20456697,3.2,44,P,S1,1.053780068827786,3,3.5,-0.9999999999999998,0.0,0.0,0.0,7.9587786259541975,0,0.0,0.0092,0.0,0.0,Information Broker,1,0.95,1,86.6
EMP00073,Engineering,3,3.88,26477845,3.7,47,L,S1,1.3639457692760202,3,3.5,-0.9999999999999998,-0.2023,1.0,0.015267175572519083,7.919847328244275,0,-0.00023310023310023353,0.0431,0.1304347826086956,0.0,Information Broker,1,0.866,4,80.08
EMP00074,Engineering,1,5.02,14263575,1.9,31,L,S1,0.7347555201717213,2,2.5,-1.0000000000000007,-0.08530000000000001,0.5,0.03435114503816794,7.7687022900763365,1,-0.031002331002331004,0.0092,0.0,0.0,Information Broker,1,0.7625,2,69.175
EMP00075,Engineering,1,2.37,9615447,3.1,40,P,S1,0.4953178121311534,3,3.0,-3.14018491736755e-16,-0.10115,0.5,0.003816793893129771,7.977862595419847,1,0.0,0.0092,0.0,0.0,Information Broker,1,0.615,0,87.1
EMP00076,Engineering,1,5.24,14345720,3.3,42,L,S1,0.7389870324121313,3,3.0,-3.14018491736755e-16,0.08399999999999999,0.5,0.05725190839694656,7.198091603053435,2,-0.04708624708624709,0.0092,0.0,0.0,Information Broker,1,0.852,5,71.84
EMP00077,Engineering,1,3.6,17162426,4.6,26,P,S3,0.8840832149751148,4,4.5,-1.0000000000000007,0.0,0.0,0.019083969465648856,7.893511450381679,0,-0.015384615384615385,0.0092,0.0,0.0,Information Broker,1,0.835,1,74.1
EMP00078,Engineering,4,4.59,24564090,4.4,26,L,S1,1.2653630471669954,5,5.0,-1.0721261933235726e-15,0.52615,0.0,0.007633587786259542,7.922900763358779,0,0.015151515151515152,0.0092,0.0,0.0,Information Broker,1,0.8039999999999999,2,76.82000000000001
EMP00079,Engineering,1,6.04,14023935,3.5,26,L,S1,0.7224110123709805,3,3.0,-3.14018491736755e-16,0.0,0.0,0.015267175572519083,7.9118320610687025,0,0.014918414918414918,0.0092,0.0,0.0,Information Broker,1,0.778,3,84.52000000000001
EMP00080,Engineering,1,6.45,13330642,2.0,39,P,S1,0.6866976053992772,1,1.0,-7.850462293418875e-17,-0.128,1.0,0.015267175572519083,7.927099236641221,0,-0.00046620046620046707,0.0092,0.0,0.0,Information Broker,1,0.7966666666666667,1,62.9
EMP00081,Engineering,2,3.27,19330844,2.8,42,L,S2,0.9957843204511069,3,3.0,-3.14018491736755e-16,-0.11315,0.5,0.019083969465648856,7.8381679389312975,0,-0.015384615384615385,0.0092,0.0,0.0,Information Broker,1,0.722,3,71.94
EMP00082,Engineering,2,2.87,25443358,3.4,36,P,S2,1.3106565319147077,4,4.0,-3.14018491736755e-16,-0.2263,1.0,0.030534351145038167,7.81030534351145,1,-0.015617715617715619,0.1109,0.391304347826087,0.0,Central Connector,0,0.69,1,73.60000000000001
EMP00083,Engineering,1,3.15,14841809,3.7,32,L,S1,0.7645419252946287,3,3.0,-3.14018491736755e-16,-0.2143,1.0,0.022900763358778626,7.827099236641221,0,0.030303030303030304,0.0092,0.0,0.0,Information Broker,1,0.764,2,81.26
EMP00084,Engineering,2,2.79,17000730,3.9,27,P,D3,0.8757538144854279,3,3.5,-0.9999999999999998,-0.2143,1.0,0.030534351145038167,7.761832061068702,0,0.030303030303030304,0.0092,0.0,0.0,Information Broker,1,0.8325,3,76.8
EMP00085,Engineering,1,3.32,15433287,2.4,30,L,S2,0.7950105648580011,1,2.0,-2.0,0.296,0.0,0.022900763358778626,7.816412213740459,0,0.014918414918414918,0.0431,0.1304347826086956,0.0,Information Broker,1,0.8480000000000001,4,74.67999999999999
EMP00086,Engineering,1,4.59,12611360,3.1,49,L,S1,0.6496454343930493,4,4.0,-3.14018491736755e-16,-0.2023,1.0,0.03435114503816794,7.661450381679389,0,0.03006993006993007,0.0379,0.1304347826086956,0.0,Information Broker,1,0.874,5,74.06
EMP00087,Engineering,1,5.45,15539224,4.4,35,L,S1,0.8004676676909467,5,4.5,0.9999999999999991,0.1909,0.0,0.026717557251908396,7.787404580152671,1,0.014918414918414918,0.0092,0.0,0.0,Information Broker,1,0.7233333333333333,1,82.03333333333333
EMP00088,Engineering,1,6.31,11708163,2.3,44,L,S3,0.6031193018104017,2,2.5,-1.0000000000000007,0.2263,0.0,0.022900763358778626,7.808778625954199,0,-0.04638694638694639,0.0092,0.0,0.0,Information Broker,1,0.8933333333333332,3,77.53333333333333
EMP00089,Engineering,1,5.72,16205679,2.8,35,L,S2,0.8347985763303337,4,3.5,0.9999999999999996,-0.2143,1.0,0.05725190839694656,7.1919847328244275,1,-0.031002331002331004,0.0497,0.1304347826086956,0.0,Information Broker,1,0.625,0,51.9
EMP00090,Engineering,3,2.52,24064319,2.3,49,L,S1,1.239618484455912,1,1.5,-1.0,0.318,0.0,0.030534351145038167,7.401908396946565,0,-0.031002331002331004,0.0092,0.0,0.0,Information Broker,1,0.752,2,69.76
EMP00091,Engineering,3,5.19,19935966,2.4,43,L,S1,1.026955799542243,3,3.0,-3.14018491736755e-16,-0.14245,0.5,0.022900763358778626,7.764122137404581,0,-0.03076923076923077,0.0092,0.0,0.0,Information Broker,1,0.9275,4,86.625
EMP00092,Engineering,1,1.63,15072416,3.7,40,L,S1,0.7764211187114433,3,3.0,-3.14018491736755e-16,-0.2263,1.0,0.007633587786259542,8.003053435114504,0,0.0,0.0092,0.0,0.0,Information Broker,1,0.8466666666666667,2,81.06666666666666
EMP00093,Engineering,4,4.85,22456454,1.6,48,P,S1,1.1567929877315,3,2.5,0.9999999999999994,-0.6249,1.0,0.0,8.033206106870228,0,0.0,0.0092,0.0,0.0,Information Broker,1,0.7866666666666666,2,84.73333333333333
EMP00094,Engineering,2,4.91,17962034,3.2,39,L,S1,0.9252731965872611,4,3.5,0.9999999999999996,-0.2143,1.0,0.04580152671755725,7.37557251908397,1,-0.03146853146853147,0.0092,0.0,0.0,Central Connector,1,0.65,0,79.36
EMP00095,Engineering,3,3.51,30612794,3.6,43,L,S1,1.5769482320792472,4,3.5,0.9999999999999996,-0.10115,0.5,0.019083969465648856,7.847709923664122,0,0.015151515151515152,0.0092,0.0,0.0,Information Broker,1,0.8300000000000001,2,81.13333333333334
EMP00096,Engineering,1,2.09,11570392,3.6,51,L,S1,0.5960223431047772,3,3.0,-3.14018491736755e-16,-0.2143,1.0,0.015267175572519083,7.882061068702289,0,0.014918414918414918,0.0092,0.0,0.0,Information Broker,1,0.77,0,66.6
EMP00097,Engineering,1,1.63,16381277,3.7,32,P,S1,0.8438441066290921,3,3.5,-0.9999999999999998,-0.2263,1.0,0.0,7.941603053435114,0,0.0,0.0392,0.1304347826086956,0.0,Information Broker,1,0.95,1,70.0
EMP00098,Engineering,1,3.5,14960535,2.8,34,P,S1,0.7706578242812367,4,4.0,-3.14018491736755e-16,-0.2143,1.0,0.003816793893129771,7.970229007633587,0,-0.015384615384615385,0.0092,0.0,0.0,Information Broker,1,0.93,1,74.1
EMP00099,Engineering,3,4.1,20803214,1.6,31,P,S1,1.0716301014166247,2,2.5,-1.0000000000000007,-0.16445,0.5,0.011450381679389313,7.897328244274809,0,-0.03076923076923077,0.0092,0.0,0.0,Information Broker,1,0.79,1,76.76666666666667
EMP00100,Engineering,3,5.69,23710497,4.9,29,P,S2,1.2213921514602781,5,5.0,-1.0721261933235726e-15,0.33525,0.0,0.030534351145038167,7.771374045801527,0,-0.07692307692307693,0.0092,0.0,0.0,Information Broker,1,0.7799999999999999,1,85.33333333333333
EMP00101,Engineering,3,4.5,27147204,3.0,35,P,S2,1.3984262708491968,3,3.5,-0.9999999999999998,-0.2143,1.0,0.03435114503816794,7.75763358778626,0,-0.031235431235431238,0.0092,0.0,0.0,Information Broker,1,0.6699999999999999,0,86.55
EMP00102,Engineering,3,3.62,28170391,3.1,27,L,S1,1.4511334144943169,3,3.5,-0.9999999999999998,-0.2143,1.0,0.007633587786259542,7.949618320610687,0,0.015151515151515152,0.0092,0.0,0.0,Information Broker,1,0.8859999999999999,4,72.02000000000001
EMP00103,Engineering,1,1.83,13250621,3.0,23,L,S1,0.682575506172424,3,3.5,-0.9999999999999998,-0.2263,1.0,0.019083969465648856,7.8381679389312975,0,-0.03076923076923077,0.0092,0.0,0.0,Information Broker,1,0.8533333333333334,2,72.89999999999999
EMP00104,Engineering,3,2.5,21687937,2.8,37,L,S1,1.117204588042375,4,4.0,-3.14018491736755e-16,-0.2263,1.0,0.0,7.972900763358779,0,0.0,0.0092,0.0,0.0,Information Broker,1,0.8466666666666667,2,88.3
EMP00105,Engineering,3,3.5,21764602,3.9,28,L,S2,1.1211538105867909,4,3.5,0.9999999999999996,0.148,0.0,0.019083969465648856,7.382824427480916,0,0.0,0.0431,0.1304347826086956,0.0,Information Broker,1,0.8240000000000001,3,74.8
